question;Agree;Disagree;Somewhat;Strongly agree;Strongly disagree;True sometimes;Yes;total_responses
The instructor was available for help outside of class;5;5;0;1;3;0;0;14
The instructor was enthusiastic about the subject;3;2;0;5;3;0;0;13
The instructor was prepared;7;2;0;3;2;0;0;14
The internet accessibility services on campus;2;0;0;1;0;1;0;4
The lab activities were well integrated with the lectures.;6;5;0;1;1;0;0;13
The lab sessions were organized and clear instructions were given to me;6;5;0;1;2;0;0;14
The library working times;2;2;0;1;0;0;0;5
The orientation program for new students;2;0;0;1;0;1;0;4
University School Visit;0;4;0;0;0;1;0;5
University Website;0;2;0;0;0;2;0;4
Use up-to-date and useful study materials ;2;2;0;1;0;0;0;5
Used effective methods of teaching;0;0;0;2;0;1;0;3
 The class activities, assignments, laboratories helped me in understanding the course;8;1;0;1;3;0;0;13
 The course generally followed the syllabus;9;2;0;0;2;0;0;13
 The course materials were up to date and useful;6;3;0;2;2;0;0;13
 The course resources I needed were available when I needed them;5;2;0;4;3;0;0;14
 The course was intellectually challenging;5;1;0;5;3;0;0;14
 The instructor's explanation was clear;7;2;0;0;4;0;0;13
