cmp_id,resource,question,Strongly agree,Agree,Disagree,Strongly disagree,True sometimes,positive_response,negative_response,neutral_response,total_responses
1,program,My ability to investigate and solve new problems,1,0,2,2,0,1,4,0,10
1,program,My ability to use technology to find information and report results,0,2,0,0,2,2,0,2,8
1,program,My ability to work effectively in groups,0,2,2,2,0,2,4,0,12
1,program,My interest to want to continue to keep up to date with new developments in my field of study,1,2,0,2,0,3,2,0,10
1,program,My rights and responsibilities at Citrine University,2,0,0,0,1,2,0,1,6
1,program,My skills in communication,0,4,2,0,0,4,2,0,12
1,program,Others,0,8,8,0,4,8,8,4,40
1,program,Peer Tutoring Services,0,2,2,0,1,2,2,1,10
1,program,Personal Counseling Services,1,0,2,2,0,1,4,0,10
1,program,Previous Citrine University Graduate,0,2,0,0,2,2,0,2,8
1,program,Printed Brochures and Booklets,0,0,2,0,2,0,2,2,8
1,program,Provides quality education centered on encouraging innovative scientific solutions and research,2,0,0,0,0,2,0,0,4
1,program,Registration Process,1,4,0,0,0,5,0,0,10
1,program,Serves as an agent of change that advances inspired leaders and scholars in fulfilling Queen Citrine Al-Thunayan Al-Saud ‘s legacy (God rest her soul),3,0,0,0,0,3,0,0,6
1,program,Social Media,1,0,2,0,1,1,2,1,8
1,program,Socio-economic growth of the Kingdom,1,0,2,0,1,1,2,1,8
1,program,Solutions to societal and economic challenges,1,2,0,0,1,3,0,1,8
1,program,Sports Activities,2,0,0,0,1,2,0,1,6
1,program,"Student Life (Events, activities, trips, clubs, etc...)",1,0,2,0,1,1,2,1,8
1,program,The Dean of Academic Development and Supportive Studies,0,12,6,0,0,12,6,0,36
1,program,The Dean of Admission and Registration,3,6,0,0,3,9,0,3,24
1,program,The Dean of Graduate Studies and Research,3,6,0,0,3,9,0,3,24
1,program,The Dean of Student Affairs,3,0,0,6,0,3,6,0,18
1,program,The Dean of the College,3,0,12,0,0,3,12,0,30
1,program,The Department Chair,6,6,0,0,0,12,0,0,24
1,program,The Email services,1,0,0,4,0,1,4,0,10
1,program,The Learning Management System (Blackboard) services,0,2,2,0,1,2,2,1,10
1,program,The President of the University,3,0,6,0,3,3,6,3,24
1,program,The Provost,3,0,6,0,3,3,6,3,24
1,program,The Student Information System (Banner) services,1,2,2,0,0,3,2,0,10
1,program,The accessibility of IT systems off campus,1,2,0,0,1,3,0,1,8
1,program,The accessibility of digital resources,1,2,0,0,1,3,0,1,8
1,program,The attendance system (fingerprints) services,2,0,2,0,0,2,2,0,8
1,program,The functionality of library equipment,1,2,0,0,1,3,0,1,8
1,program,The help of library staff,2,0,0,0,1,2,0,1,6
1,program,The internet accessibility services on campus,1,2,0,0,1,3,0,1,8
1,program,The library working times,1,2,2,0,0,3,2,0,10
1,program,The orientation program for new students,1,2,0,0,1,3,0,1,8
1,program,University School Visit,0,0,4,0,1,0,4,1,10
1,program,University Website,0,0,2,0,2,0,2,2,8
1,program,Use up-to-date and useful study materials,1,2,2,0,0,3,2,0,10
1,program,Used effective methods of teaching,2,0,0,0,1,2,0,1,6
2,course,I would like to take another course with the same instructor,2,2,2,1,0,4,3,0,14
2,course,"Overall, I was satisfied with the quality of this course",0,6,1,1,0,6,2,0,16
2,course,The assessment tasks and the assessment criteria were made clear to  me,2,1,3,2,0,3,5,0,16
2,course,"The class activities, assignments, laboratories helped me in understanding the course",1,3,1,2,0,4,3,0,14
2,course,The course generally followed the syllabus,0,5,1,1,0,5,2,0,14
2,course,The course materials were made available on Blackboard,2,2,3,0,0,4,3,0,14
2,course,The course materials were up to date and useful,2,3,2,1,0,5,3,0,16
2,course,The course resources I needed were available when I needed them,1,4,2,1,0,5,3,0,16
2,course,The course was intellectually challenging,4,2,1,1,0,6,2,0,16
2,course,The effort required for this course was appropriate,3,3,2,0,0,6,2,0,16
2,course,The instructor returned assignments/tests timely and with feedback,1,3,2,1,0,4,3,0,14
2,course,The instructor stimulated interest in the course subject,1,4,1,1,0,5,2,0,14
2,course,The instructor treated students with respect,0,5,1,2,0,5,3,0,16
2,course,The instructor was available for help outside of class,1,2,4,1,0,3,5,0,16
2,course,The instructor was enthusiastic about the subject,3,2,0,2,0,5,2,0,14
2,course,The instructor was prepared,2,4,1,1,0,6,2,0,16
2,course,The instructor's explanation was clear,0,3,2,2,0,3,4,0,14
2,course,The lab activities were well integrated with the lectures.,0,3,4,0,0,3,4,0,14
2,course,The lab sessions were organized and clear instructions were given to me,0,3,4,1,0,3,5,0,16
3,course,I would like to take another course with the same instructor,1,0,3,2,0,1,5,0,12
3,course,"Overall, I was satisfied with the quality of this course",1,3,0,2,0,4,2,0,12
3,course,The assessment tasks and the assessment criteria were made clear to  me,2,0,3,1,0,2,4,0,12
3,course,"The class activities, assignments, laboratories helped me in understanding the course",0,5,0,1,0,5,1,0,12
3,course,The course generally followed the syllabus,0,4,1,1,0,4,2,0,12
3,course,The course materials were made available on Blackboard,0,4,0,1,0,4,1,0,10
3,course,The course materials were up to date and useful,0,3,1,1,0,3,2,0,10
3,course,The course resources I needed were available when I needed them,3,1,0,2,0,4,2,0,12
3,course,The course was intellectually challenging,1,3,0,2,0,4,2,0,12
3,course,The effort required for this course was appropriate,0,1,2,2,0,1,4,0,10
3,course,The instructor returned assignments/tests timely and with feedback,2,1,2,1,0,3,3,0,12
3,course,The instructor stimulated interest in the course subject,2,2,0,1,0,4,1,0,10
3,course,The instructor treated students with respect,2,0,1,2,0,2,3,0,10
3,course,The instructor was available for help outside of class,0,3,1,2,0,3,3,0,12
3,course,The instructor was enthusiastic about the subject,2,1,2,1,0,3,3,0,12
3,course,The instructor was prepared,1,3,1,1,0,4,2,0,12
3,course,The instructor's explanation was clear,0,4,0,2,0,4,2,0,12
3,course,The lab activities were well integrated with the lectures.,1,3,1,1,0,4,2,0,12
3,course,The lab sessions were organized and clear instructions were given to me,1,3,1,1,0,4,2,0,12
